first,last,id.bioguide,current_type,current_party,current_state,term_start,term_end,social.youtube,social.youtube_id,social.twitter,social.twitter_id,social.instagram,social.instagram_id,social.facebook,youtube_url
Aumua Amata,Radewagen,R000600,rep,Republican,AS,2025-01-03,2027-01-03,,UCGdrLQbt1PYDTPsampx4t1A,RepAmata,3026622545.0,,,aumuaamata,https://www.youtube.com/channel/UCGdrLQbt1PYDTPsampx4t1A
Steve,Womack,W000809,rep,Republican,AR,2025-01-03,2027-01-03,CongressmanWomack,UCXJbUDLYX-wGIhRuN66hqZw,Rep_SteveWomack,234469322.0,rep_stevewomack,,RepSteveWomack,https://www.youtube.com/channel/UCXJbUDLYX-wGIhRuN66hqZw
Frederica,Wilson,W000808,rep,Democrat,FL,2025-01-03,2027-01-03,repfredericawilson,UCP5QBhng_lHv-vJgE_h7lpA,RepWilson,234014087.0,repwilson,,RepWilson,https://www.youtube.com/channel/UCP5QBhng_lHv-vJgE_h7lpA
Daniel,Webster,W000806,rep,Republican,FL,2025-01-03,2027-01-03,repdanwebster,UCCoX4VdU7U11eGEA0lbRtLw,RepWebster,281540744.0,,,RepWebster,https://www.youtube.com/channel/UCCoX4VdU7U11eGEA0lbRtLw
Robert,Wittman,W000804,rep,Republican,VA,2025-01-03,2027-01-03,RobWittman,UCIqIb-OaTbkIdU426eYIdPg,RobWittman,15356407.0,reprobwittman,,RepRobWittman,https://www.youtube.com/channel/UCIqIb-OaTbkIdU426eYIdPg
Tim,Walberg,W000798,rep,Republican,MI,2025-01-03,2027-01-03,RepWalberg,UChpf3_3Wn8f3qSJbsYXrhvg,RepWalberg,237862972.0,repwalberg,,RepWalberg,https://www.youtube.com/channel/UChpf3_3Wn8f3qSJbsYXrhvg
Debbie,Wasserman Schultz,W000797,rep,Democrat,FL,2025-01-03,2027-01-03,RepWassermanSchultz,UCfHQiJVvMlYbVAxrMSLdO4w,RepDWStweets,1140648348.0,RepDWSTweets,,RepDWS,https://www.youtube.com/channel/UCfHQiJVvMlYbVAxrMSLdO4w
Joe,Wilson,W000795,rep,Republican,SC,2025-01-03,2027-01-03,RepJoeWilson,UC3aR1B8m7Z1uycO65yDnpCg,RepJoeWilson,254082173.0,repjoewilson,519685522.0,JoeWilson,https://www.youtube.com/channel/UC3aR1B8m7Z1uycO65yDnpCg
Maxine,Waters,W000187,rep,Democrat,CA,2025-01-03,2027-01-03,MaxineWaters,UCOQ2js1VYFlo74n7Ns8WsLQ,RepMaxineWaters,36686040.0,repmaxinewaters,,MaxineWaters,https://www.youtube.com/channel/UCOQ2js1VYFlo74n7Ns8WsLQ
Nydia,Velázquez,V000081,rep,Democrat,NY,2025-01-03,2027-01-03,nydiavelazquez,UCqMKPkKeeHFOOiZ9vxhXGVg,NydiaVelazquez,164369297.0,,,8037068318,https://www.youtube.com/channel/UCqMKPkKeeHFOOiZ9vxhXGVg
Paul,Tonko,T000469,rep,Democrat,NY,2025-01-03,2027-01-03,reppaultonko,UC3P2SGFmmuCYRsjeso0hOQQ,RepPaulTonko,84119348.0,reppaultonko,,reppaultonko,https://www.youtube.com/channel/UC3P2SGFmmuCYRsjeso0hOQQ
Dina,Titus,T000468,rep,Democrat,NV,2025-01-03,2027-01-03,CongresswomanTitus,UC_US4jNqECuMSNrB7yVCbbw,RepDinaTitus,122174004.0,dinatitusnv,1110185253.0,CongresswomanTitus,https://www.youtube.com/channel/UC_US4jNqECuMSNrB7yVCbbw
Glenn,Thompson,T000467,rep,Republican,PA,2025-01-03,2027-01-03,CongressmanGT,UCNWX7lbWWvnNdzVMFI9DRiQ,CongressmanGT,18967498.0,congressman_gt,,CongressmanGT,https://www.youtube.com/channel/UCNWX7lbWWvnNdzVMFI9DRiQ
Michael,Turner,T000463,rep,Republican,OH,2025-01-03,2027-01-03,CongressmanTurner,UC-6Ss-aZ3OPisf9GdVGtN8g,RepMikeTurner,51228911.0,repmiketurner,,RepMikeTurner,https://www.youtube.com/channel/UC-6Ss-aZ3OPisf9GdVGtN8g
Mike,Thompson,T000460,rep,Democrat,CA,2025-01-03,2027-01-03,CongressmanMThompson,UC6pGbtqHZYZmScFGSz5bbdg,RepThompson,303861808.0,,,RepMikeThompson,https://www.youtube.com/channel/UC6pGbtqHZYZmScFGSz5bbdg
Bennie,Thompson,T000193,rep,Democrat,MS,2025-01-03,2027-01-03,RepBennieThompson,UCzt2pBxh0dI24kYrWretXRw,BennieGThompson,82453460.0,benniegthompson,347410575.0,CongressmanBennieGThompson,https://www.youtube.com/channel/UCzt2pBxh0dI24kYrWretXRw
Austin,Scott,S001189,rep,Republican,GA,2025-01-03,2027-01-03,RepAustinScott,UC5M7eKHKQStktMyjieiHYZQ,AustinScottGA08,234797704.0,,,RepAustinScott,https://www.youtube.com/channel/UC5M7eKHKQStktMyjieiHYZQ
Terri,Sewell,S001185,rep,Democrat,AL,2025-01-03,2027-01-03,RepSewell,UCHkEHtfrfUWOFtbUFQTQH7Q,RepTerriSewell,381152398.0,repterriasewell,,RepSewell,https://www.youtube.com/channel/UCHkEHtfrfUWOFtbUFQTQH7Q
David,Schweikert,S001183,rep,Republican,AZ,2025-01-03,2027-01-03,RepDavidSchweikert,UCVvuNVzkOUp7p_Pzkc6Zuvw,RepDavid,229197216.0,repdavid,181147397.0,repdavidschweikert,https://www.youtube.com/channel/UCVvuNVzkOUp7p_Pzkc6Zuvw
Steve,Scalise,S001176,rep,Republican,LA,2025-01-03,2027-01-03,RepSteveScalise,UCmYveHBVXVBRxl7GiCL-gjw,SteveScalise,1209417007.0,stevescalise,1210937919.0,RepSteveScalise,https://www.youtube.com/channel/UCmYveHBVXVBRxl7GiCL-gjw
Adrian,Smith,S001172,rep,Republican,NE,2025-01-03,2027-01-03,RepAdrianSmith,UCIgn2z-hwxx_aeggnyhv54Q,RepAdrianSmith,296245061.0,RepAdrianSmith,,repadriansmith,https://www.youtube.com/channel/UCIgn2z-hwxx_aeggnyhv54Q
David,Scott,S001157,rep,Democrat,GA,2025-01-03,2027-01-03,RepDavidScott,UCgf28zRkLSqAUiPuJhGdF0w,RepDavidScott,168673083.0,RepDavidScott,,113303673339,https://www.youtube.com/channel/UCgf28zRkLSqAUiPuJhGdF0w
Linda,Sánchez,S001156,rep,Democrat,CA,2025-01-03,2027-01-03,LindaTSanchez,UCu1K6uHxjMgj2mvzM7O9-ow,RepLindaSanchez,312134473.0,replindasanchez,,CongresswomanLindaSanchez,https://www.youtube.com/channel/UCu1K6uHxjMgj2mvzM7O9-ow
Michael,Simpson,S001148,rep,Republican,ID,2025-01-03,2027-01-03,CongMikeSimpson,UCNXe0rJJeULTAP_7oyQNw8g,CongMikeSimpson,76132891.0,congressmanmikesimpson,,96007744606,https://www.youtube.com/channel/UCNXe0rJJeULTAP_7oyQNw8g
Janice,Schakowsky,S001145,rep,Democrat,IL,2025-01-03,2027-01-03,repschakowsky,UCuCHHPSENUEaaeH8n_CYDXQ,JanSchakowsky,24195214.0,JanSchakowsky,,janschakowsky,https://www.youtube.com/channel/UCuCHHPSENUEaaeH8n_CYDXQ
Adam,Smith,S000510,rep,Democrat,WA,2025-01-03,2027-01-03,CongressmanAdamSmith,UCcrHso483LOfC6WwDnzAh-g,RepAdamSmith,58928690.0,repadamsmith,,RepAdamSmith,https://www.youtube.com/channel/UCcrHso483LOfC6WwDnzAh-g
Brad,Sherman,S000344,rep,Democrat,CA,2025-01-03,2027-01-03,shermanca27,UCPisrz6-SLwVy2l9Mcy8kug,BradSherman,30216513.0,congressmansherman,,63158229861,https://www.youtube.com/channel/UCPisrz6-SLwVy2l9Mcy8kug
Robert,Scott,S000185,rep,Democrat,VA,2025-01-03,2027-01-03,repbobbyscott,UCdNNcpw8arCsUp55JwK_QAA,BobbyScott,161791703.0,repbobbyscott,1173348983.0,RepBobbyScott,https://www.youtube.com/channel/UCdNNcpw8arCsUp55JwK_QAA
Mike,Rogers,R000575,rep,Republican,AL,2025-01-03,2027-01-03,MikeRogersAL03,UCH-WUWuY0_dlKwJDSqKTJsg,RepMikeRogersAL,33977070.0,repmikerogersal,259435765.0,CongressmanMikeDRogers,https://www.youtube.com/channel/UCH-WUWuY0_dlKwJDSqKTJsg
Harold,Rogers,R000395,rep,Republican,KY,2025-01-03,2027-01-03,RepHalRogers,UChVFKLZkRoHQDhp4zNvEezQ,RepHalRogers,550401754.0,rephalrogers,,CongressmanHalRogers,https://www.youtube.com/channel/UChVFKLZkRoHQDhp4zNvEezQ
Mike,Quigley,Q000023,rep,Democrat,IL,2025-01-03,2027-01-03,RepMikeQuigley,UCDP13XegdoZ4bxYHxM34yAA,RepMikeQuigley,56864092.0,repmikequigley,1403659583.0,repmikequigley,https://www.youtube.com/channel/UCDP13XegdoZ4bxYHxM34yAA
Chellie,Pingree,P000597,rep,Democrat,ME,2025-01-03,2027-01-03,congresswomanpingree,UCLKaWFM7I84WcreDRhhhkVg,ChelliePingree,14984637.0,chelliepingree,,ChelliePingree,https://www.youtube.com/channel/UCLKaWFM7I84WcreDRhhhkVg
Nancy,Pelosi,P000197,rep,Democrat,CA,2025-01-03,2027-01-03,nancypelosi,UCxPeEcH0xaCK9nBK98EFhDg,SpeakerPelosi,15764644.0,,,NancyPelosi,https://www.youtube.com/channel/UCxPeEcH0xaCK9nBK98EFhDg
Frank,Pallone,P000034,rep,Democrat,NJ,2025-01-03,2027-01-03,repfrankpallone,UCN0_wn9hs1LI3UKkji2PP2A,FrankPallone,31801993.0,repfrankpallone,,repfrankpallone,https://www.youtube.com/channel/UCN0_wn9hs1LI3UKkji2PP2A
Eleanor,Norton,N000147,rep,Democrat,DC,2025-01-03,2027-01-03,EleanorHNorton,UChRrAXUGylfxJjbquC6aUjQ,EleanorNorton,23600262.0,congresswomannorton,,CongresswomanNorton,https://www.youtube.com/channel/UChRrAXUGylfxJjbquC6aUjQ
Richard,Neal,N000015,rep,Democrat,MA,2025-01-03,2027-01-03,RepRichardENeal,UCZVtTydu0-MSK6G12GaKA4g,RepRichardNeal,442824717.0,,,reprichardneal,https://www.youtube.com/channel/UCZVtTydu0-MSK6G12GaKA4g
Jerrold,Nadler,N000002,rep,Democrat,NY,2025-01-03,2027-01-03,congressmannadler,UCQKj0qU1e7o2f5ftSh-c9aQ,RepJerryNadler,40302336.0,,,CongressmanNadler,https://www.youtube.com/channel/UCQKj0qU1e7o2f5ftSh-c9aQ
Tom,McClintock,M001177,rep,Republican,CA,2025-01-03,2027-01-03,McClintockCA04,UCMh04KC4LfIzKoXh2Xws_pw,RepMcClintock,50152441.0,repmcclintock,,81125319109,https://www.youtube.com/channel/UCMh04KC4LfIzKoXh2Xws_pw
Doris,Matsui,M001163,rep,Democrat,CA,2025-01-03,2027-01-03,RepDorisMatsui,UCSqqxVkvskHq3cY2MCbTZsw,DorisMatsui,38254095.0,repdorismatsui,,doris.matsui,https://www.youtube.com/channel/UCSqqxVkvskHq3cY2MCbTZsw
Gwen,Moore,M001160,rep,Democrat,WI,2025-01-03,2027-01-03,RepGwenMoore,UCCs9o1XaSsCsqNpO0iO0_Ew,RepGwenMoore,22669526.0,RepGwenMoore,,GwenSMoore,https://www.youtube.com/channel/UCCs9o1XaSsCsqNpO0iO0_Ew
Michael,McCaul,M001157,rep,Republican,TX,2025-01-03,2027-01-03,MichaelTMcCaul,UCRw6sGE0PH7_FCeTT3PQRaA,RepMcCaul,26424123.0,congressman_mccaul,,michaeltmccaul,https://www.youtube.com/channel/UCRw6sGE0PH7_FCeTT3PQRaA
Betty,McCollum,M001143,rep,Democrat,MN,2025-01-03,2027-01-03,BMcCollum04,UC3sZJSdiZo2EBHbsOlsnI7A,BettyMcCollum04,516880804.0,repbettymccollum,,repbettymccollum,https://www.youtube.com/channel/UC3sZJSdiZo2EBHbsOlsnI7A
Gregory,Meeks,M001137,rep,Democrat,NY,2025-01-03,2027-01-03,gwmeeks,UCljJnwgQS6Z6-NypDyqKJZQ,RepGregoryMeeks,22812754.0,repgregorymeeks,,gregorymeeksny05,https://www.youtube.com/channel/UCljJnwgQS6Z6-NypDyqKJZQ
James,McGovern,M000312,rep,Democrat,MA,2025-01-03,2027-01-03,repjimmcgovern,UCpiUqp2ZF64tXqgR_EQo27g,RepMcGovern,242426145.0,repmcgovern,,RepJimMcGovern,https://www.youtube.com/channel/UCpiUqp2ZF64tXqgR_EQo27g
Robert,Latta,L000566,rep,Republican,OH,2025-01-03,2027-01-03,CongressmanBobLatta,UCVSBVHoWu-eWnBBQaMKZ_sQ,BobLatta,15394954.0,boblatta,26367713.0,boblatta,https://www.youtube.com/channel/UCVSBVHoWu-eWnBBQaMKZ_sQ
Stephen,Lynch,L000562,rep,Democrat,MA,2025-01-03,2027-01-03,RepLynch,UCxL4zG0YWqC5XTO4af_FOgw,RepStephenLynch,310310133.0,repstephenlynch,,repstephenlynch,https://www.youtube.com/channel/UCxL4zG0YWqC5XTO4af_FOgw
Rick,Larsen,L000560,rep,Democrat,WA,2025-01-03,2027-01-03,congressmanlarsen,UCMv7LsJtiyO4AJcbRux5CxQ,RepRickLarsen,404132211.0,repricklarsen,,RepRickLarsen,https://www.youtube.com/channel/UCMv7LsJtiyO4AJcbRux5CxQ
John,Larson,L000557,rep,Democrat,CT,2025-01-03,2027-01-03,RepJohnLarson,UCGPsvFF-9WfpdRSCcCrPLiQ,RepJohnLarson,50452197.0,RepJohnBLarson,,RepJohnLarson,https://www.youtube.com/channel/UCGPsvFF-9WfpdRSCcCrPLiQ
Frank,Lucas,L000491,rep,Republican,OK,2025-01-03,2027-01-03,RepFrankLucas,UCdYZbKY8pkWAThqwC3fdVMg,RepFrankLucas,242772524.0,repfranklucas,,RepFrankLucas,https://www.youtube.com/channel/UCdYZbKY8pkWAThqwC3fdVMg
Zoe,Lofgren,L000397,rep,Democrat,CA,2025-01-03,2027-01-03,RepZoeLofgren,UCOaQ79adORFcaTuJZoIFuZQ,RepZoeLofgren,267938462.0,,,zoelofgren,https://www.youtube.com/channel/UCOaQ79adORFcaTuJZoIFuZQ
Mike,Kelly,K000376,rep,Republican,PA,2025-01-03,2027-01-03,repmikekelly,UCoz6u3ooQxoijsWvhoQ0D-A,MikeKellyPA,935368364.0,,,191056827594903,https://www.youtube.com/channel/UCoz6u3ooQxoijsWvhoQ0D-A
William,Keating,K000375,rep,Democrat,MA,2025-01-03,2027-01-03,RepBillKeating,UC7KPV4xdxO2dms9vl6tETmg,USRepKeating,232992031.0,,,Congressman.Keating,https://www.youtube.com/channel/UC7KPV4xdxO2dms9vl6tETmg
Marcy,Kaptur,K000009,rep,Democrat,OH,2025-01-03,2027-01-03,USRepMarcyKaptur,UCIJUNf22o09nO02oQPLKQ6w,RepMarcyKaptur,581141508.0,repmarcykaptur,,RepresentativeMarcyKaptur,https://www.youtube.com/channel/UCIJUNf22o09nO02oQPLKQ6w
Jim,Jordan,J000289,rep,Republican,OH,2025-01-03,2027-01-03,RepJimJordan,UCPFBhS00ivPV585GlnNlyqA,Jim_Jordan,18166778.0,,,repjimjordan,https://www.youtube.com/channel/UCPFBhS00ivPV585GlnNlyqA
Henry,Johnson,J000288,rep,Democrat,GA,2025-01-03,2027-01-03,RepHankJohnson,UCqMici9I7nz_i-PN7eSYjwQ,RepHankJohnson,24745957.0,rephankjohnson,,115356957005,https://www.youtube.com/channel/UCqMici9I7nz_i-PN7eSYjwQ
Bill,Huizenga,H001058,rep,Republican,MI,2025-01-03,2027-01-03,RepHuizenga,UCQPlLLiMnysMmeJ5qUSSjQg,RepHuizenga,233949261.0,RepHuizenga,,RepHuizenga,https://www.youtube.com/channel/UCQPlLLiMnysMmeJ5qUSSjQg
